,BDEP,TPO,HL,BHT,RPM,TOR,DEPT,WOB,Annotation
1607130759835,5056.179,22.71879520643988,525.7339863773956,26.009,0.0,0.0,5795.817,10.15,on_slips
1607130760343,5056.018,23.51131131829243,525.839986374649,26.099,0.0,0.0,5795.817,10.05,on_slips
1607130760851,5056.018,16.114494274335264,525.8559863742342,26.099,0.0,0.0,5795.817,10.03,on_slips
1607130761361,5055.848,21.662107057303142,525.411986385739,26.268,0.0,0.0,5795.817,10.48,on_slips
1607130761869,5055.848,25.62468761656591,525.3179863881747,26.351,0.0,0.0,5795.817,10.57,on_slips
1607130762379,5055.676,19.020386684461297,524.6159864063646,26.44,0.0,0.0,5795.817,11.27,on_slips
1607130762887,5055.676,19.548730759029663,524.6179864063129,26.521,0.0,0.0,5795.817,11.27,on_slips
1607130763396,5055.506,20.605418908166403,524.2499864158483,26.602,0.0,0.0,5795.817,11.64,on_slips
1607130763803,5055.336,23.51131131829243,524.0359864213933,26.691,0.0,0.0,5795.817,11.85,on_slips
1607130764312,5055.336,24.56799946742917,523.8939864250729,26.854,0.0,0.0,5795.817,11.99,on_slips
1607130764819,5055.336,22.190451131871512,523.8479864262647,26.854,0.0,0.0,5795.817,12.04,on_slips
1607130765328,5055.173,25.62468761656591,523.7099864298406,26.941,0.0,0.0,5795.817,12.18,on_slips
1607130765841,5055.173,22.71879520643988,523.5759864333127,27.032,0.0,0.0,5795.817,12.31,on_slips
1607130766348,5054.995,26.15303169113428,523.5659864335719,27.122,0.0,0.0,5795.817,12.32,on_slips
1607130766856,5054.995,24.0396553928608,523.409986437614,27.203,0.0,0.0,5795.817,12.48,on_slips
1607130767365,5054.824,21.662107057303142,523.0719864463721,27.294,0.0,0.0,5795.817,12.82,on_slips
1607130767873,5054.824,22.71879520643988,522.7819864538866,27.383,0.0,0.0,5795.817,13.11,on_slips
1607130768380,5054.644,23.51131131829243,522.593986458758,27.462,0.0,0.0,5795.817,13.3,on_slips
1607130768888,5054.644,23.51131131829243,522.7059864558557,27.544,0.0,0.0,5795.817,13.18,on_slips
1607130769395,5054.393,19.020386684461297,522.8999864508289,27.634,0.0,0.0,5795.817,12.99,on_slips
1607130769802,5054.222,26.68137576570265,523.431986437044,27.804,0.0,0.0,5795.817,12.46,on_slips
1607130770310,5054.222,21.133762982734773,523.7159864296851,27.804,0.0,0.0,5795.817,12.17,on_slips
1607130770817,5054.052,21.662107057303142,525.183986391647,27.974,0.0,0.0,5795.817,10.71,on_slips
1607130771336,5054.052,16.642838348903634,525.6359863799348,28.056,0.0,0.0,5795.817,10.25,on_slips
1607130771846,5053.879,21.133762982734773,526.1079863677046,28.147,0.0,0.0,5795.817,9.78,on_slips
1607130772354,5053.879,21.662107057303142,526.495986357651,28.234,0.0,0.0,5795.817,9.39,on_slips
1607130772862,5053.708,22.71879520643988,526.5579863560444,28.318,0.0,0.0,5795.817,9.33,on_slips
1607130773370,5053.708,24.56799946742917,526.5139863571845,28.318,0.0,0.0,5795.817,9.37,on_slips
1607130773877,5053.708,15.586150199766896,526.089986368171,28.492,0.0,0.0,5795.817,9.8,on_slips
1607130774386,5053.535,24.56799946742917,525.6619863792612,28.492,0.0,0.0,5795.817,10.23,on_slips
1607130774893,5053.535,21.133762982734773,524.6099864065202,28.579,0.0,0.0,5795.817,11.28,on_slips
